Aach;54298
Aach;78267
Aachen;52062
Aachen;52064
Aachen;52066
Aachen;52068
Aachen;52070
Aachen;52072
Aachen;52074
Aachen;52076
Aachen;52078
Aachen;52080
Aalen;73430
Aalen;73431
Aalen;73432
Aalen;73433
Aalen;73434
Aarbergen;65326
Aasbüttel;25560
Abbau Ader;29416
Abbendorf;19322
Abbenrode;38871
Abberode;06543
Abenberg;91183
Abend;01623
Abensberg;93326
Abentheuer;55767
Abraham;94036
Absberg;91720
Abstatt;74232
Abtlöbnitz;06628
Abtsbessingen;99713
Abtsdorf;06888
Abtsgmünd;73453
Abtsteinach;69518
Abtswind;97355
Abtweiler;55568
Achberg;88147
Achen;83552
Achern;77855
Achim;28832
Achim;38312
Achslach;94250
Achstetten;88480
Acht;56729
Achtelsbach;55767
Achterspannerhof;56299
Achterwehr;24239
Achtrup;25917
Ackendorf;39343
Ackermannshof;16259
Adamshoffnung;17213
Addebüll;25842
Adelberg;73099
Adelebsen;37139
Adelhausen;98646
Adelheidsdorf;29352
Adelmannsfelden;73486
Adelschlag;85111
Adelsdorf;01561
Adelsdorf;91325
Adelsheim;74740
Adelshofen;82276
Adelshofen;91587
Adelsried;86477
Adelzhausen;86559
Adenau;53518
Adenbach;67742
Adenbüttel;38528
Adendorf;21365
Adenstedt;31079
Aderstedt;06408
Aderstedt;38838
Adlersteige;73479
Adligstadt;83364
Adlkofen;84166
Adlkofen;84166
Admannshagen-Bargeshagen;18211
Adorf;08626
Aebtissinwisch;25572
Aerzen;31855
Affalterbach;71563
Affing;86444
Affinghausen;27257
Affler;54689
Aftholderbach;56355
Agathenburg;21684
Agethorst;25560
Aglasterhausen;74858
Aham;84168
Ahaus;48683
Ahausen;27367
Ahlbeck;17375
Ahlden;29693
Ahlefeld;24811
Ahlen;59227
Ahlen;59229
Ahlerstedt;21702
Ahlsdorf;04916
Ahlsdorf;06313
Ahlstädt;98553
Ahlum;38489
Ahnatal;34292
Ahneby;24996
Ahnsbeck;29353
Ahnsen;31708
Aholfing;94345
Aholming;94527
Ahorn;74744
Ahorn;96482
Ahorntal;95491
Ahrain;83739
Ahrbrück;53506
Ahrensbök;23623
Ahrensburg;22926
Ahrensdorf;14974
Ahrensdorf;15864
Ahrensfelde;16356
Ahrenshagen;18320
Ahrenshöft;25853
Ahrenstedt;24787
Ahrenviöl;25885
Ahrenviölfeld;25885
Aicha;94529
Aichach;86551
Aichat;83565
Aichberg;83329
Aichelberg;73101
Aichen;86479
Aichhalden;78733
Aichstetten;88317
Aichtal;72631
Aichwald;73773
Aichwies;83329
Aidenbach;94501
Aidhausen;97491
Aidlingen;71134
Aiglsbach;84089
Ailertchen;56459
Aindling;86447
Ainring;83404
Aislingen;89344
Aiterhofen;94330
Aitern;79677
Aiteröd;84137
Aitrach;88319
Aitrang;87648
Aitzendorf;09326
Aken;06385
Alach;99100
Alach;99100
Albaching;83544
Albbruck;79774
Albernhof;93449
Albersdorf;07646
Albersdorf;25767
Albershausen;73095
Albersroda;06268
Alberstedt;06279
Albersweiler;76857
Alberthofen;57614
Albertinenhof;16818
Albertinenhof;19260
Albertshofen;97320
Albessen;66871
Albig;55234
Albisheim;67308
Albrechts;98529
Albrechts;98529
Albrechtshof;17291
Albsfelde;23909
Albstadt;72458
Albstadt;72459
Albstadt;72461
Aldenhoven;52457
Aldersbach;94501
Aldingen;78554
Alerheim;86733
Alesheim;91793
Aletshausen;86480
Alf;56859
Alfdorf;73553
Alfeld;31061
Alfeld;91236
Alfhausen;49594
Alflen;56828
Alfstedt;27432
Alfter;53347
Algenstedt;39638
Algermissen;31191
Algertshausen;86926
Algesbüttel;38551
Algishofen;73453
Alheim;36211
Alikendorf;39398
Alken;56332
Alkersleben;99310
Alkersum;25938
Allenbach;55758
Allendorf;07426
Allendorf;35108
Allendorf;35469
Allendorf;56370
Allenfeld;55595
Allensbach;78476
Alleringersleben;39343
Allersberg;90584
Allersdorf;98701
Allershausen;85391
Alleshausen;88422
Alling;82239
Allmannshofen;86695
Allmannsweiler;88348
Allmendingen;89604
Allmenhausen;99713
Allmersbach;71573
Allmosen;01983
Allrode;06507
Allstedt;06542
Almdorf;25821
Almersbach;57610
Almosmühle;93449
Almstedt;31079
Alpen;46519
Alpenrod;57642
Alperstedt;99195
Alpirsbach;72275
Alsau;53547
Alsbach;56237
Alsbach-Hähnlein;64665
Alsdorf;52477
Alsdorf;54668
Alsdorf;57518
Alsenz;67821
Alsfeld;36304
Alsheim;67577
Alsleben;06425
Alt Bennebek;24848
Alt Bork;14822
Alt Brieselang;14656
Alt Bukow;18233
Alt Duvenstedt;24791
Alt Golm;15526
Alt Jabel;19303
Alt Karin;18236
Alt Kätwin;18299
Alt Krenzlin;19288
Alt Krüssow;16928
Alt Lanschvitz;18581
Alt Lutterow;16837
Alt Madlitz;15518
Alt Mahlisch;15306
Alt Meteln;19069
Alt Mölln;23881
Alt Necheln;19412
Alt Poorstorf;23992
Alt Rehse;17217
Alt Ruppin;16827
Alt Schönau;17192
Alt Schwerin;17214
Alt Stahnsdorf;15859
Alt Tellin;17129
Alt Tucheband;15328
Alt Zachun;19230
Alt Zauche;15913
Altbach;73776
Altbarnim;15320
Altbrand;76726
Altbrandsleben;39387
Altdöbern;03229
Altdorf;67482
Altdorf;71155
Altdorf;72655
Altdorf;84032
Altdorf;90518
Altefähr;18573
Alteglofsheim;93087
Altena;58762
Altenahr;53505
Altenau;04931
Altenau;38707
Altenbach;04828
Altenbamberg;55585
Altenbeken;33184
Altenberg;01773
Altenberga;07768
Altenberge;48341
Altenbeuthen;07338
Altenbrak;38889
Altenbuch;97901
Altenburg;04600
Altendambach;98553
Altendiez;65624
Altendorf;01855
Altendorf;92540
Altendorf;96146
Altenfeld;98701
Altengesees;07356
Altenglan;66885
Altengottern;99991
Altenhagen;17091
Altenhagen;18236
Altenhausen;39343
Altenhof;16244
Altenhof;17209
Altenhof;24340
Altenhof;54636
Altenhof;54655
Altenhof;67677
Altenholz;24161
Altenholz;24161
Altenkirchen;18556
Altenkirchen;57610
Altenkirchen;66903
Altenkrempe;23730
Altenkunstadt;96264
Altenmarkt;83352
Altenmedingen;29575
Altenmoor;25335
Altenmünster;86450
Altenpleen;18445
Altenriet;72657
Altenroda;06642
Altensalzwedel;29416
Altenstadt;63674
Altenstadt;86972
Altenstadt;89281
Altenstadt;92665
Altensteig;72213
Altenthann;93177
Altentreptow;17087
Altenweddingen;39171
Altenzaun;39596
Alterkülz;56288
Alterode;06543
Altersbach;98587
Altertheim;97237
Altes Forsthaus;56130
Altes Lager;14913
Altfraunhofen;84169
Altfriedland;15320
Altfriesack;16818
Alt-Galow;16278
Altgersdorf;16259
Altglietzen;16259
Althegnenberg;82278
Altheim;88499
Altheim;89174
Altheim;89605
Altheimersberg;91788
Althengstett;75382
Althornbach;66484
Althütte;71566
Althüttendorf;16247
Altjeßnitz;06800
Altkalen;17179
Altkirchen;04626
Altkünkendorf;16278
Altlandsberg;15345
Altlay;56858
Altleiningen;67317
Altlewin;16259
Altlüdersdorf;16775
Altlußheim;68804
Altmachern;54492
Altmädewitz;16259
Altmannstein;93336
Altmersleben;39624
Altmittweida;09648
Altomünster;85250
Altona;19294
Altottenhain;04643
Altötting;84503
Altreetz;16259
Altrich;54518
Altrip;67122
Alt-Schadow;15910
Altscheid;54636
Altshausen;88361
Altstrimmig;56858
Alt-Sührkow;17166
Altthymen;16798
Alttrebbin;16259
Altusried;87452
Altwarp;17375
Altweidelbach;55469
Altwigshagen;17379
Altwittenbek;24214
Altwustrow;16259
Alveslohe;25486
Alzenau;63755
Alzey;55232
Am Jägerberg;21227
Am Quicken;82493
Am Rainberge;34497
Am Römerhof;61200
Am Römerschacht;61200
Am Rönndeich;21706
Am Rüdesheimer Hafen;65385
Am Sandkopf;34127
Am Sandweiher;66849
Am Springberg;76889
Am Tekenberge;38350
Amalienfelde;16766
Amberg;86854
Amberg;92224
Amelinghausen;21385
Amerang;83123
Amerdingen;86735
Amesdorf;39439
Ammeldingen;54673
Ammeldingen;54675
Ammelstädt;07407
Ammerbuch;72119
Ammern;99974
Ammerndorf;90614
Ammersbek;22949
Ammerthal;92260
Amöneburg;35287
Amorbach;63916
Ampfing;84539
Ampfurth;39387
Amsdorf;06317
Amselgraben;83329
Amstetten;73340
Amtsberg;09439
Amtzell;88279
An der Chaussee;25840
An der Rhumequelle;37434
Andechs;82346
Andenhausen;36452
Anderbeck;38836
Anderlingen;27446
Andernach;56626
Andervenne;49832
Andisleben;99189
Andrichstadt;83364
Angelbachtal;74918
Angelburg;35719
Angelhof I u. II;67346
Angelroda;99338
Anger;83454
Anger;83565
Angermünde;16278
Angern;39326
Angersdorf;06179
Angl;83739
Anhausen;56584
Ankermühle;37308
Ankershagen;17219
Anklam;17389
Ankum;49577
Anna Luisenhof;18239
Annaberg;67098
Annaberg-Buchholz;09456
Annaburg;06925
Annahütte;01994
Annarode;06308
Anning;83368
Annweiler;76855
Anröchte;59609
Ansbach;91522
Anschau;56729
Antdorf;82387
Antrifttal;36326
Antweiler;53533
Anzing;85646
Apelern;31552
Apen;26689
Apenburg;38486
Apensen;21641
Apfeldorf;86974
Apfelstädt;99192
Apfeltrach;87742
Apolda;99510
Appel;21279
Appelbeck;21279
Appeln;27616
Appen;25482
Appenheim;55437
Appenrode;99768
Appensee;74597
Appenweier;77767
Apperting;83376
Arbach;56769
Arberg;91722
Aremberg;53533
Arendsee;17291
Arendsee;39619
Arenrath;54518
Arensdorf;06369
Arensdorf;15518
Arenshausen;37318
Arensnest;14827
Arenzhain;03253
Aresing;86561
Arft;56729
Argenbühl;88260
Argenschwang;55595
Argenthal;55496
Arholzen;37627
Arkebek;25767
Arleting;83374
Arlewatt;25860
Armsheim;55288
Armstedt;24616
Armstorf;21769
Arnbruck;93471
Arneburg;39596
Arnis;24399
